,title,company,Skills,Job Type
58,"Principal Financial Analyst, APAC Frontier Market",Singapore,['Accounting/Finance'],General/Cost Accounting
59,Senior Financial Analyst (FP&A),Bedok,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
60,Graduate Analyst – Cognizant Consulting (Banking & Financial Services),Central,"['Sales/Marketing', 'Marketing/Business Dev', 'Accounting/Finance', 'Banking/Financial']",Full-Time
61,Senior Finance Analyst,Paya Lebar,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
62,Senior Finance Analyst,East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
63,Finance Analyst (6 months contract),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Contract
64,"Senior Finance Analyst (FP&A, Cost Analysis) - up $6500 - West - 6 months Renew",Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
65,8 months Regional Finance Analyst (SAP BCP) - up $6200 - East with transport,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
66,Regional Financial Analyst,Singapore,['Services'],Logistics/Supply Chain
67,Accountant,West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
68,Value Stream Analyst (Manufacturing/ Pioneer),West,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
69,Franchise Expense Analyst - Assistant Vice President,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment', 'Banking/Financial']",Full-Time
70,8 months Finance Analyst - up $6200 - East/Immediate,Central,"['Accounting/Finance', 'General/Cost Accounting']",Contract
71,Fixed Income/ Credit Analyst,Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
72,Corporate  Financial Analyst,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
73,Business Analyst (Management Reporting) 1 year contract,Central,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Contract
74,"Financial Analyst, FP&A (Resort Operations)",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
75,Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
76,FP&A Specialist,West,"['Accounting/Finance', 'Banking/Financial']",Full-Time
77,FP&A Analyst (6 Months contract),Jurong East,"['Accounting/Finance', 'General/Cost Accounting']",Contract
78,Finance Reporting Analyst - Officer #Citi,Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Computer/Information Technology', 'IT-Software']",Full-Time
79,Finance Analyst (Real Estate),Central,"['Accounting/Finance', 'Audit & Taxation', 'Corporate Finance/Investment']",Full-Time
80,GF - Finance Reporting Senior Analyst - AVP,East,"['Accounting/Finance', 'Banking/Financial']",Full-Time
81,Senior Financial Analyst / Asst Manager,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
82,Financial Analyst (Contract),Jurong East,"['Computer/Information Technology', 'IT-Network/Sys/DB Admin']",Full-Time
83,Senior / Health Policy Analyst (Finance Policy),Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
84,CEO Office Analyst,Marina South,"['Education/Training', 'Training & Dev.']",Full-Time
85,Asia GCB Operations FP & A Lead Analyst - Vice President #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
86,Analyst (Mgr/AVP) - Treasury Financial Control & Advisory  - (210000WE),Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
87,"Analyst, Financial Control",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
88,Financial Analyst,East,"['Accounting/Finance', 'General/Cost Accounting', 'Others', 'Others']",Full-Time
89,Finance Analyst,Western Islands,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
90,Regional Financial Analyst (Pharmaceutical),Singapore,"['Others', 'Others']",Full-Time
91,Equity Research Analyst,Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
92,Finance Business Analyst (Continuous Improvement),Changi,"['Accounting/Finance', 'Banking/Financial']",Contract
93,"Finance Analyst/Senior (Healthcare Ind, Finance Shared Services) (ID: 493453)",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
94,"Financial Analyst, Regional (6000, MNC)","North-East, Central","['Accounting/Finance', 'General/Cost Accounting', 'Corporate Finance/Investment']",Full-Time
95,"Senior Analyst, Investment",Central,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
96,"Manager, Financial Planning & Analysis",East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
97,"Senior Regional Financial Analyst, APJ (Based in Singapore) - (24157-JOB)",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
98,"Financial Reporting Analyst (AVP), GFCA –Financial Reporting - (210000WD)",Central,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
99,Regional Business Analyst,Central,"['Accounting/Finance', 'Audit & Taxation']",Full-Time
100,Sustainable Investment Research Analyst,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
101,Franchise Expense Analyst - Assistant Vice President #Citi,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment', 'Banking/Financial']",Full-Time
102,B2B - Business Analyst,"North, North-East, East, West, Central","['Accounting/Finance', 'General/Cost Accounting', 'Sales/Marketing', 'Sales - Corporate']",Full-Time
103,Business/Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
104,Business Analyst,Jurong East,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
105,"Analyst, Specialist, Group Finance - (WD23708)",Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
106,"Executive, Finance (CICTML)",Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
107,6 months Senior FP&A - up $6500 - West - Start ASAP / MNC Background,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
108,GCG Sales Performance Analyst,Singapore,"['Sales/Marketing', 'Sales - Financial Services', 'Accounting/Finance', 'Banking/Financial']",Full-Time
109,"VP, Functional Business Analyst (Personal Financial Services), Group Technology",Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Engineering', 'Other Engineering']",Full-Time
110,Finance Analyst (Treasury),West - Others,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
111,Analyst,Company Confidential,"['Others', 'Others']",Full-Time
112,Senior Financial Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
113,Finance Analyst (Costing / Manufacturing),West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
114,Junior Equities Research Analyst – Singapore,Singapore,['Accounting/Finance'],Corporate Finance/Investment
115,Junior Equities Research Analyst – Singapore #179806,Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
116,6 months Renew Senior FP&A (Cost Analysis) - up $6500 - West - Urgent,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
117,Finance Analyst,Central,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
118,Invoicing Analyst ( 2 Years Contract),East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
119,Financial Analyst (IT),Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
120,FP&A Manager (Forecast & Budgeting),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
121,"Finance Analyst/Senior (Healthcare Ind, Finance Shared Services) (ID: 493453)",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
122,Finance Business Analyst,Changi,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
123,O&T Financial Management Analyst - (210000OW),Singapore,"['Computer/Information Technology', 'IT-Software', 'Accounting/Finance', 'Banking/Financial']",Full-Time
124,Senior FP&A Manager (Commercial Strategy),Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
125,Management Accountant,West - Others,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
126,Financial Analyst-CEL[CENTRAL / Banking/ Contract]-SL,Central,"['Accounting/Finance', 'Banking/Financial']",Full-Time
127,Finance Analyst (Invoicing) (2 Years Contract),East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
128,Accountant / Senior Accountant (Real Estate / Good Benefits / 5 days),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
129,"Regional Associate, Financial Planning & Analysis",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
130,Regional Financial Planning & Analysis Manager,Central,"['Accounting/Finance', 'Audit & Taxation']",Full-Time
131,"Manager, Management Reporting",Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
132,Accountant,Changi,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
133,Senior Manager/Manager (MD6 - Financial Planning & Analysis) #NUS,Singapore,"['Education/Training', 'Education']",Contract
134,FINANCIAL ACCOUNTANT,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
135,Financial Analyst (commodities trading),,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
136,Accountant / Senior Finance Executive (Real Estate / Good Benefits / 5 days),Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
137,GCG Sales Performance Analyst #Citi,Singapore,"['Sales/Marketing', 'Sales - Financial Services', 'Accounting/Finance', 'Banking/Financial']",Full-Time
138,Risk Management Analyst,Singapore,"['Accounting/Finance', 'Banking/Financial']",Contract
139,Banking Data Analyst (Wealth Management / $4.5K),East,"['Accounting/Finance', 'Banking/Financial', 'Full-Time']",Contract
140,"FP&A Analyst (Contract, Possibility to Perm or renew, Very good exposure)",Paya Lebar,"['Accounting/Finance', 'General/Cost Accounting']",Contract
141,"Financial Economist - Assistant Vice President,",Singapore,"['Accounting/Finance', 'Banking/Financial', 'Corporate Finance/Investment']",Full-Time
142,"Business Analyst, IBOR Transition - (2100013177)",Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
143,Accountant,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Part-Time
144,Financial Analyst,East,"['Accounting/Finance', 'General/Cost Accounting', 'Full-Time']",Contract
145,Accountant,Jurong West,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
146,Controlling Specialist,West,"['Accounting/Finance', 'General/Cost Accounting', 'Corporate Finance/Investment']",Full-Time
147,Accountant / Senior Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
148,Business Analyst - (2100013558),Singapore,"['Accounting/Finance', 'General/Cost Accounting', 'Banking/Financial']",Full-Time
149,Business Analyst,East,"['Accounting/Finance', 'General/Cost Accounting', 'Others', 'Others']",Full-Time
150,Finance Business Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Contract
151,Infrastructure Senior Tech Analyst,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
152,Senior Business Analyst (Finance),Boon Lay,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
153,SG Market Risk Reporting Analyst - Assistant Vice President #Citi,Singapore,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
154,Accountant,Singapore,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
155,"Senior Officer (1 year contract), Financial Information Management -Change Management, Group Finance",,"['Accounting/Finance', 'General/Cost Accounting']",Contract
156,Regional Financial Analyst,,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
157,Financial Analyst,Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
158,Financial Analyst (8 months Contract),Central,"['Sales/Marketing', 'Sales - Financial Services', 'Accounting/Finance', 'Banking/Financial', 'Full-Time']",Contract
159,"Business Analyst, Strategic Initiatives - (2100011971)",Singapore,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
160,"Analyst/ Senior Analyst, Portfolio Management",Central,"['Accounting/Finance', 'Banking/Financial']",Full-Time
161,Accountant (Financial Reporting & Analysis/Healthcare Industry)(ID: 516848),Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
162,Accountant (2 Years Contract),East,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
163,"Accountant, Financial Planning & Analysis (FP&A)",East,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
164,Credit Analyst - Financial Institutions  - (210000SP),Singapore,"['Accounting/Finance', 'Banking/Financial']",Full-Time
165,Equity Analyst - Global TMT / Consumer / Cyclical,Company Confidential,"['Accounting/Finance', 'Banking/Financial']",Full-Time
166,Credit Risk Analyst | Japanese MNC | Trading | Permanent | CBD |,Central,"['Accounting/Finance', 'Banking/Financial', 'General/Cost Accounting']",Full-Time
167,Accountant,Orchard,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
168,"Assistant Director / Associate, Foreign Investment Accounting",Central,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
169,Senior Business Analyst ( Financial /Administrative Management )- 6 mths $10K,East,"['Accounting/Finance', 'Corporate Finance/Investment', 'Banking/Financial']",Full-Time
170,DCM Analyst - Investment Banking,Singapore,"['Accounting/Finance', 'Corporate Finance/Investment']",Full-Time
171,Accountant,Central,"['Accounting/Finance', 'General/Cost Accounting', 'Audit & Taxation']",Full-Time
172,Senior Financial Analyst,Kallang,"['Accounting/Finance', 'General/Cost Accounting']",Full-Time
173,Business Analyst,Singapore,"['Computer/Information Technology', 'IT-Software', 'Full-Time']",Contract
